step_id,step_name,blast_radius,reversibility,frequency,verifiability,cascading_risk,composite,checkpoint_level
intake,Receive customer message,2.0,1.0,5.0,1.0,5.0,2.43,none
classify,Classify intent,3.0,1.0,5.0,2.0,5.0,2.86,none
sentiment,Score customer sentiment,3.0,1.0,5.0,2.0,5.0,2.86,none
escalation_check,Escalation decision,3.0,1.0,5.0,2.0,5.0,2.86,none
resolve,Execute account resolution,5.0,5.0,5.0,3.0,5.0,4.71,required
respond,Generate customer response,4.0,4.0,5.0,5.0,4.0,4.29,required
format_response,Format and brand response,4.0,5.0,5.0,3.0,4.0,4.29,required
deliver_response,Deliver response to customer,4.0,5.0,5.0,3.0,3.0,4.14,required
log_interaction,Log interaction to CRM,3.0,1.0,5.0,3.0,3.0,2.71,none
update_crm,Update customer account status,3.0,1.0,5.0,3.0,2.0,2.57,none
close_ticket,Close support ticket,3.0,1.0,5.0,3.0,1.0,2.43,none
human_handoff,Escalate to human agent,2.0,1.0,5.0,1.0,1.0,1.86,none
